constituency,year,funds_available,sanctioned_funds,actual_expenditure,works_sanctioned,works_completed,pending_works,pct_completed,pct_utilisation,expenditure_to_sanctioned_pct,pending_share_pct,completion_gap_pct,avg_sanction_per_work_lakh
Ajitgarh,2010,495.53999999999996,482.98,326.775,5121.0,4925.0,269.5,95.025,93.305,97.31905141737964,4.889084482912789,-0.40500000000000114,0.5712261597873417
Ajitgarh,2011,495.53999999999996,482.98,326.775,5121.0,4925.0,269.5,95.025,93.305,97.31905141737964,4.889084482912789,-0.40500000000000114,0.5712261597873417
Ajitgarh,2012,495.53999999999996,482.98,326.775,5121.0,4925.0,269.5,95.025,93.305,97.31905141737964,4.889084482912789,-0.40500000000000114,0.5712261597873417
Ajitgarh,2013,495.53999999999996,482.98,326.775,5121.0,4925.0,269.5,95.025,93.305,97.31905141737964,4.889084482912789,-0.40500000000000114,0.5712261597873417
Ajitgarh,2014,495.53999999999996,482.98,326.775,5121.0,4925.0,269.5,95.025,93.305,97.31905141737964,4.889084482912789,-0.40500000000000114,0.5712261597873417
Ajitgarh,2015,5932.38,5072.47,4601.92,4150.0,3549.0,601.0,85.52,77.57,90.72345425404193,14.481927710843374,-7.950000000000003,1.2222819277108434
Ajitgarh,2016,7218.89,5875.03,6689.68,4550.0,4052.0,498.0,89.05,92.67,113.86631217202296,10.945054945054943,3.620000000000005,1.2912153846153849
Ajitgarh,2017,85.01,79.26,73.74,5515.0,4444.0,1071.0,80.58,86.74,93.0355791067373,19.41976427923844,6.159999999999997,0.0143717135086128
Ajitgarh,2018,23.64,23.17,21.14,1370.0,750.0,620.0,54.74,89.43,91.23867069486404,45.25547445255474,34.690000000000005,0.016912408759124
Ajitgarh,2019,26.24,44.86,21.91,1539.0,704.0,835.0,45.74,83.5,48.84083816317432,54.25601039636128,37.76,0.0291487979207277
Ajitgarh,2020,26.25,25.32,23.49,1527.0,1052.0,475.0,68.89,89.48,92.77251184834122,31.10674525212836,20.590000000000003,0.0165815324165029
Ajitgarh,2021,26.27,25.15,24.98,1518.0,1431.0,87.0,94.27,95.09,99.324055666004,5.731225296442688,0.8200000000000074,0.0165678524374176
Ajitgarh,2022,30.07,27.32,24.98,1524.0,1465.0,59.0,96.13,83.05,91.43484626647144,3.8713910761154855,-13.079999999999998,0.0179265091863517
Amritsar,2010,7388.04,7354.19,7139.66,6402.0,6012.0,390.0,93.91,96.64,97.08288744239678,6.091846298031865,2.730000000000004,1.1487332083723836
Amritsar,2011,8012.95,7940.23,7501.85,6624.0,6245.0,379.0,94.28,93.62,94.4790012379994,5.721618357487923,-0.6599999999999966,1.1987062198067633
Amritsar,2012,8269.56,7962.73,7868.81,6627.0,6331.0,296.0,95.53,95.15,98.82050502779826,4.46657612796137,-0.3799999999999954,1.2015587747095215
Amritsar,2013,8720.35,8958.71,8311.78,6667.0,6624.0,43.0,99.36,95.31,92.7787594419286,0.6449677516124194,-4.049999999999997,1.3437393130343482
Amritsar,2014,9264.8,9014.8,8746.8,6669.0,6626.0,43.0,99.36,94.41,97.02711097306651,0.6447743289848553,-4.950000000000003,1.3517468885889938
Amritsar,2015,9776.87,8966.4,9471.5,6669.0,6665.0,4.0,99.94,96.88,105.63325303354748,0.0599790073474284,-3.0600000000000023,1.344489428699955
Amritsar,2016,10837.87,9137.95,10258.77,6701.0,6667.0,34.0,99.49,94.66,112.26555190168472,0.5073869571705716,-4.829999999999998,1.3636696015520071
Amritsar,2017,123.63,120.6,115.97,7740.0,7394.0,346.0,95.53,93.8,96.16086235489222,4.470284237726098,-1.730000000000004,0.0155813953488372
Amritsar,2018,123.68,120.45,115.4,8072.0,7534.0,538.0,93.33,93.3,95.80738895807389,6.665014866204163,-0.0300000000000011,0.0149219524281466
Amritsar,2019,123.82,120.45,115.53,8072.0,7534.0,538.0,93.33,93.31,95.91531755915317,6.665014866204163,-0.019999999999996,0.0149219524281466
Amritsar,2020,129.16,127.95,125.43,8135.0,7629.0,506.0,93.78,97.11,98.03048065650644,6.220036877688998,3.3299999999999983,0.0157283343577135
Amritsar,2021,135.52,133.9,133.49,8237.0,7757.0,480.0,94.17,98.5,99.69380134428678,5.827364331674153,4.329999999999998,0.0162559184168993
Amritsar,2022,142.13,136.64,136.11,8425.0,7936.0,489.0,94.2,95.77,99.61211943793911,5.804154302670623,1.5699999999999932,0.0162183976261127
Bathinda,2010,2951.27,2841.33,2808.86,3233.0,3212.0,21.0,99.35,95.17,98.85722531349757,0.6495515001546551,-4.179999999999993,0.8788524590163934
Bathinda,2011,3313.32,3227.72,2918.79,3373.0,3240.0,133.0,96.06,88.09,90.42884760759918,3.9430773791876663,-7.969999999999999,0.9569285502520012
Bathinda,2012,3824.25,3564.19,3250.07,3504.0,3323.0,181.0,94.83,84.99,91.18677736035396,5.165525114155251,-9.840000000000003,1.017177511415525
Bathinda,2013,4592.59,4588.79,4274.0,3980.0,3553.0,427.0,89.27,93.06,93.14002166148374,10.728643216080402,3.7900000000000063,1.152962311557789
Bathinda,2014,4844.68,4545.01,4507.61,3975.0,3887.0,88.0,97.79,93.04,99.17711952228926,2.2138364779874213,-4.75,1.143398742138365
Bathinda,2015,5319.55,4517.7,4938.12,3971.0,3969.0,2.0,99.95,92.83,109.30606281957634,0.0503651473180559,-7.1200000000000045,1.1376731301939058
Bathinda,2016,6109.73,4517.7,5792.73,3971.0,3971.0,0.0,100.0,94.81,128.22298957434094,0.0,-5.189999999999998,1.1376731301939058
Bathinda,2017,63.63,60.04,59.31,4745.0,4659.0,86.0,98.19,93.21,98.78414390406397,1.8124341412012648,-4.980000000000004,0.0126533192834562
Bathinda,2018,63.8,61.52,60.81,4829.0,4738.0,91.0,98.12,95.3,98.84590377113132,1.8844481259059849,-2.8200000000000074,0.012739697659971
Bathinda,2019,71.37,69.14,67.24,5033.0,4791.0,242.0,95.19,94.22,97.25195256002311,4.808265448042917,-0.9699999999999988,0.0137373335982515
Bathinda,2020,76.47,71.32,70.39,5180.0,4931.0,249.0,95.19,92.04,98.69601794727988,4.806949806949807,-3.1499999999999915,0.0137683397683397
Bathinda,2021,78.65,75.03,73.81,5236.0,5097.0,139.0,97.35,93.85,98.3739837398374,2.654698242933537,-3.5,0.014329640947288
Bathinda,2022,78.01,75.67,74.53,5234.0,5170.0,64.0,98.78,95.54,98.49345843795427,1.222774168895682,-3.239999999999995,0.0144573939625525
Faridkot,2010,3613.72,3539.88,3373.66,5034.0,4822.0,212.0,95.79,93.36,95.30436059979434,4.211362733412793,-2.430000000000007,0.7031942789034565
Faridkot,2011,3947.08,3931.96,3649.76,5314.0,5025.0,289.0,94.56,92.47,92.8229178323279,5.438464433571697,-2.0900000000000034,0.7399247271358675
Faridkot,2012,4454.06,4405.08,4151.88,5647.0,5374.0,273.0,95.17,93.22,94.25209076793158,4.8344253585974855,-1.9500000000000028,0.7800743757747476
Faridkot,2013,5215.06,5215.05,5019.07,6121.0,5898.0,223.0,96.36,96.24,96.2420302777538,3.643195556281653,-0.1200000000000045,0.8519931383760824
Faridkot,2014,5474.68,5207.65,5171.19,6119.0,6026.0,93.0,98.48,94.46,99.29987614375004,1.5198561856512502,-4.02000000000001,0.8510622650759927
Faridkot,2015,6013.0,5223.44,5417.73,6115.0,6072.0,43.0,99.3,90.1,103.71957943424258,0.7031888798037612,-9.200000000000005,0.8542011447260833
Faridkot,2016,6785.23,5223.95,6257.18,6100.0,6099.0,1.0,99.98,92.22,119.7787115114042,0.0163934426229508,-7.760000000000005,0.8563852459016393
Faridkot,2017,70.17,69.91,66.77,7105.0,6874.0,231.0,96.75,95.15,95.50851094264054,3.251231527093596,-1.5999999999999943,0.0098395496129486
Faridkot,2018,75.26,75.03,70.61,7351.0,7002.0,349.0,95.25,93.82,94.1090230574437,4.74765338049245,-1.4300000000000068,0.0102067745884913
Faridkot,2019,77.76,75.16,74.65,7361.0,7309.0,52.0,99.29,96.0,99.32144757849922,0.7064257573699225,-3.2900000000000063,0.0102105692161391
Faridkot,2020,83.29,79.4,77.84,7574.0,7346.0,228.0,96.99,93.46,98.0352644836272,3.0102983892263007,-3.530000000000001,0.0104832321098494
Faridkot,2021,87.94,82.68,80.48,7716.0,7456.0,260.0,96.63,91.52,97.3391388485728,3.3696215655780195,-5.109999999999999,0.0107153965785381
Faridkot,2022,85.25,85.19,84.21,7801.0,7710.0,91.0,98.83,98.78,98.84963023829089,1.166517113190617,-0.0499999999999971,0.0109203948211767
Fatehgarh Sahib,2010,495.53999999999996,482.98,326.775,5121.0,4925.0,269.5,95.025,93.305,97.31905141737964,4.889084482912789,-0.40500000000000114,0.5712261597873417
Fatehgarh Sahib,2011,495.53999999999996,482.98,326.775,5121.0,4925.0,269.5,95.025,93.305,97.31905141737964,4.889084482912789,-0.40500000000000114,0.5712261597873417
Fatehgarh Sahib,2012,495.53999999999996,482.98,326.775,5121.0,4925.0,269.5,95.025,93.305,97.31905141737964,4.889084482912789,-0.40500000000000114,0.5712261597873417
Fatehgarh Sahib,2013,495.53999999999996,482.98,326.775,5121.0,4925.0,269.5,95.025,93.305,97.31905141737964,4.889084482912789,-0.40500000000000114,0.5712261597873417
Fatehgarh Sahib,2014,495.53999999999996,482.98,326.775,5121.0,4925.0,269.5,95.025,93.305,97.31905141737964,4.889084482912789,-0.40500000000000114,0.5712261597873417
Fatehgarh Sahib,2015,495.53999999999996,482.98,326.775,5121.0,4925.0,269.5,95.025,93.305,97.31905141737964,4.889084482912789,-0.40500000000000114,0.5712261597873417
Fatehgarh Sahib,2016,495.53999999999996,482.98,326.775,5121.0,4925.0,269.5,95.025,93.305,97.31905141737964,4.889084482912789,-0.40500000000000114,0.5712261597873417
Fatehgarh Sahib,2017,495.53999999999996,482.98,326.775,5121.0,4925.0,269.5,95.025,93.305,97.31905141737964,4.889084482912789,-0.40500000000000114,0.5712261597873417
Fatehgarh Sahib,2018,66.98,65.44,62.0,9297.0,9064.0,233.0,97.49,92.56,94.74327628361858,2.506184790792729,-4.929999999999993,0.0070388297300204
Fatehgarh Sahib,2019,69.62,67.58,64.68,9352.0,9125.0,227.0,97.57,92.91,95.7087895827168,2.4272882805816938,-4.659999999999997,0.0072262617621899
Fatehgarh Sahib,2020,75.67,74.65,69.68,9525.0,9230.0,295.0,96.9,92.08,93.34226389819156,3.097112860892389,-4.820000000000007,0.0078372703412073
Fatehgarh Sahib,2021,87.19,83.04,79.43,9746.0,9424.0,322.0,96.7,91.1,95.65269749518303,3.303919556741227,-5.6000000000000085,0.0085204186332854
Fatehgarh Sahib,2022,87.34,86.28,80.71,9880.0,9476.0,404.0,95.91,92.41,93.54427445526191,4.089068825910931,-3.5,0.0087327935222672
Fazilka,2010,495.53999999999996,482.98,326.775,5121.0,4925.0,269.5,95.025,93.305,97.31905141737964,4.889084482912789,-0.40500000000000114,0.5712261597873417
Fazilka,2011,495.53999999999996,482.98,326.775,5121.0,4925.0,269.5,95.025,93.305,97.31905141737964,4.889084482912789,-0.40500000000000114,0.5712261597873417
Fazilka,2012,495.53999999999996,482.98,326.775,5121.0,4925.0,269.5,95.025,93.305,97.31905141737964,4.889084482912789,-0.40500000000000114,0.5712261597873417
Fazilka,2013,495.53999999999996,482.98,326.775,5121.0,4925.0,269.5,95.025,93.305,97.31905141737964,4.889084482912789,-0.40500000000000114,0.5712261597873417
Fazilka,2014,495.53999999999996,482.98,326.775,5121.0,4925.0,269.5,95.025,93.305,97.31905141737964,4.889084482912789,-0.40500000000000114,0.5712261597873417
Fazilka,2015,495.53999999999996,482.98,326.775,5121.0,4925.0,269.5,95.025,93.305,97.31905141737964,4.889084482912789,-0.40500000000000114,0.5712261597873417
Fazilka,2016,495.53999999999996,482.98,326.775,5121.0,4925.0,269.5,95.025,93.305,97.31905141737964,4.889084482912789,-0.40500000000000114,0.5712261597873417
Fazilka,2017,495.53999999999996,482.98,326.775,5121.0,4925.0,269.5,95.025,93.305,97.31905141737964,4.889084482912789,-0.40500000000000114,0.5712261597873417
Fazilka,2018,495.53999999999996,482.98,326.775,5121.0,4925.0,269.5,95.025,93.305,97.31905141737964,4.889084482912789,-0.40500000000000114,0.5712261597873417
Fazilka,2019,495.53999999999996,482.98,326.775,5121.0,4925.0,269.5,95.025,93.305,97.31905141737964,4.889084482912789,-0.40500000000000114,0.5712261597873417
Fazilka,2020,2.81,2.71,2.02,49.0,22.0,27.0,0.0,71.96,74.53874538745387,55.10204081632653,71.96,0.0553061224489795
Fazilka,2021,7.37,5.24,2.63,108.0,37.0,71.0,34.26,35.69,50.19083969465649,65.74074074074075,1.4299999999999995,0.0485185185185185
Fazilka,2022,7.41,7.2,5.18,151.0,68.0,83.0,45.03,70.01,71.94444444444444,54.966887417218544,24.980000000000004,0.047682119205298
Firozpur,2010,3343.0,3311.62,3226.84,2714.0,2647.0,67.0,97.53,96.53,97.43992366273908,2.468680913780398,-1.0,1.220198968312454
