constituency,year,funds_available,pct_completed,sanctioned_funds,works_sanctioned,actual_expenditure,works_completed,pct_utilisation,pending_works,expenditure_to_sanctioned_pct,pending_share_pct,completion_gap_pct,avg_sanction_per_work_lakh,pending_works_yoy_change,actual_expenditure_yoy_change,pct_utilisation_yoy_change
Ajitgarh,2010,,,,,,,,,,,,,,,
Ajitgarh,2011,,,,,,,,,,,,,,,
Ajitgarh,2012,,,,,,,,,,,,,,,
Ajitgarh,2013,,,,,,,,,,,,,,,
Ajitgarh,2014,,,,,,,,,,,,,,,
Ajitgarh,2015,5932.38,85.52,5072.47,4150.0,4601.92,3549.0,77.57,601.0,90.72345425404191,14.481927710843374,-7.950000000000003,1.2222819277108434,,,
Ajitgarh,2016,7218.89,89.05,5875.03,4550.0,6689.68,4052.0,92.67,498.0,113.86631217202296,10.945054945054945,3.6200000000000045,1.2912153846153847,-17.138103161397666,45.36715110214866,19.466288513600638
Ajitgarh,2017,85.01,80.58,79.26,5515.0,73.74,4444.0,86.74,1071.0,93.0355791067373,19.41976427923844,6.159999999999997,0.014371713508612875,115.06024096385543,-98.89770512191913,-6.399050393870731
Ajitgarh,2018,23.64,54.74,23.17,1370.0,21.14,750.0,89.43,620.0,91.23867069486404,45.25547445255474,34.690000000000005,0.01691240875912409,-42.110177404295044,-71.33170599403309,3.1012220428868087
Ajitgarh,2019,26.24,45.74,44.86,1539.0,21.91,704.0,83.5,835.0,48.84083816317432,54.256010396361276,37.76,0.029148797920727745,34.677419354838705,3.6423841059602724,-6.6308844906630915
Ajitgarh,2020,26.25,68.89,25.32,1527.0,23.49,1052.0,89.48,475.0,92.77251184834122,31.106745252128356,20.590000000000003,0.016581532416502946,-43.113772455089816,7.211319032405283,7.161676646706594
Ajitgarh,2021,26.27,94.27,25.15,1518.0,24.98,1431.0,95.09,87.0,99.32405566600399,5.7312252964426875,0.8200000000000074,0.016567852437417655,-81.6842105263158,6.343124733929351,6.269557443004015
Ajitgarh,2022,30.07,96.13,27.32,1524.0,24.98,1465.0,83.05,59.0,91.43484626647145,3.8713910761154855,-13.079999999999998,0.017926509186351705,-32.18390804597702,0.0,-12.661688926280368
Amritsar,2010,7388.04,93.91,7354.19,6402.0,7139.66,6012.0,96.64,390.0,97.08288744239678,6.091846298031865,2.730000000000004,1.1487332083723836,,,
Amritsar,2011,8012.95,94.28,7940.23,6624.0,7501.85,6245.0,93.62,379.0,94.47900123799941,5.721618357487923,-0.6599999999999966,1.1987062198067633,-2.8205128205128216,5.072930643756157,-3.125
Amritsar,2012,8269.56,95.53,7962.73,6627.0,7868.81,6331.0,95.15,296.0,98.82050502779826,4.46657612796137,-0.37999999999999545,1.2015587747095215,-21.899736147757253,4.891593406959616,1.6342661824396476
Amritsar,2013,8720.35,99.36,8958.71,6667.0,8311.78,6624.0,95.31,43.0,92.7787594419286,0.6449677516124194,-4.049999999999997,1.3437393130343482,-85.47297297297297,5.629440792190943,0.16815554387807907
Amritsar,2014,9264.8,99.36,9014.8,6669.0,8746.8,6626.0,94.41,43.0,97.02711097306651,0.6447743289848553,-4.950000000000003,1.3517468885889938,0.0,5.233776639901433,-0.9442870632672351
Amritsar,2015,9776.87,99.94,8966.4,6669.0,9471.5,6665.0,96.88,4.0,105.63325303354748,0.0599790073474284,-3.0600000000000023,1.344489428699955,-90.69767441860466,8.285315772625435,2.616248278784017
